"id","sentiment","subjectivity","article_id","topic","keywords"
28759,-0.016,0.320,6132,1,"Ahmadi;strike;drone;killed;family;home;Kabul;August;car;Times"
28760,0.096,0.419,6133,2,"terrorism;white;terrorists;Trump;American;Republican;terrorist;Republicans;true;people"
28761,0.042,0.419,6134,3,"water;Iraq;Turkey;rivers;Syria;drought;people;Refugee;Council;crisis"
28762,0.034,0.336,6135,2,"data;user;requests;Kong;Hong;Google;government;information;last;law"
28763,0.087,0.438,6136,0,"per;cent;vaccine;jabs;virus;people;booster;Covid;doses;pandemic"
28764,0.042,0.194,6137,0,"children;vaccine;younger;smaller;make;doses;company;cleared;authorities;Tureci"
28765,0.125,0.142,6138,0,"studying;schools;parts;number;many;hours;devoted;cut;back;Public"
28766,0.083,0.317,6139,2,"understood;taken;steps;serve;questions;prince;personally;particular;papers;may"
28767,0.012,0.380,6140,2,"Afghanistan;defense;Pentagon;statement;missile;understanding;realignment;move;ministry;mental"
28768,0.101,0.352,6141,1,"Prince;Andrew;officers;defendant;Sepulveda;Giuffre;states;lawyers;royal;document"
28769,0.055,0.379,6142,1,"women;Taliban;Kabul;policies;wore;Islamists;young;pro-Taliban;Afghanistan;fighters"
28770,0.122,0.375,6143,0,"billion;per;euros;cent;Britain;trade;small;many;firms;customs"
28771,0.016,0.386,6144,2,"Belarusian;agreements;Belarus;countries;two;Putin;Lukashenko;political;sides;part"
28772,0.038,0.218,6145,0,"government;health;Buzyn;whether;pandemic;French;action;weeks;probe;pass"
28773,-0.007,0.232,6146,2,"next;naval;bases;Australian;would;region;presence;forces;country;active"
28774,0.230,0.498,6147,0,"homes;new;electric;parking;England;energy;current;could;home;chargers"
28775,0.115,0.544,6148,3,"extratropical;storm;hurricane;cyclone;Greenland;Atlantic;tropical;Larry;southeastern;across"
28776,0.042,0.365,6149,1,"Spain;Barcelona;independence;Catalonia;repression;separatist;regional;protests;political;nine"
28777,0.173,0.429,6150,0,"children;government;vaccines;young;vaccinate;island;Cuban;Cuba;would;vaccinating"
28778,0.090,0.315,6151,0,"regardless;travel;vaccination;travelers;requiring;country;arrivals;United;States;France"
28779,0.060,0.449,6152,3,"factory;India;energy;hydrogen;Deva;Reliance;renewable;Ambani;would;world"
28780,0.024,0.345,6153,1,"pandemic;Warsaw;workload;rallied;percent;government;failing;compensate;added;Thousands"
28781,0.105,0.400,6154,2,"Afghanistan;Americans;flight;United;States;departure;Thursday;Taliban;next;board"
28782,0.030,0.288,6155,2,"China;vessels;Philippines;Chinese;Sea;Manila;Washington;South;Lorenzana;maritime"
28783,0.004,0.529,6156,1,"touch;weekend;gay;read;hate;crimes;Spain;since;rights;one"
28784,0.141,0.437,6157,0,"generally;would;visiting;status;regardless;part;Covid;activity;Bloomfield;visitor"
28785,0.071,0.374,6158,1,"Israel;Gaza;rocket;Hamas;terror;Strip;Palestinian;IDF;used;money"
28786,-0.034,0.385,6159,0,"could;Prince;England;anyone;Mantel;monarchy;would;people;back;Britain"
28787,0.122,0.439,6160,3,"percent;meat;production;land;Meat;livestock;diseases;animals;people;food"
28788,0.300,0.456,6161,2,"story;signing;service;readers;public;providing;national;free;email;breaking"
28789,0.113,0.384,6162,3,"species;percent;mining;climate;change;IUCN;congress;Amazon;motion;deep"
28790,0.500,0.694,6163,2,"sure;supports;review;make;loading;information;happen;cookies;browser;blocking"
28791,0.024,0.405,6164,2,"Arabia;Saudi;kingdom;U.S.;Air;missile;Patriot;defense;batteries;satellite"
28792,0.091,0.439,6165,0,"going;get;Liverpool;n't;think;Echo;worse;want;shortages;newsletter"
28794,0.066,0.539,6167,3,"Earth;storm;solar;could;storms;cause;also;Internet;magnetic;cables"
28795,0.075,0.393,6168,2,"rates;workers;Google;temps;temporary;pay;correct;would;laws;company"
28796,0.092,0.452,6169,0,"stores;Japan;customers;FamilyMart;store;shops;automated;system;regular;labor"
28797,0.088,0.418,6170,2,"case;Andrew;Roberts;court;Prince;service;team;lawyers;served;papers"
28798,0.115,0.324,6171,2,"U.S.;citizens;Taliban;Qatar;Blinken;Americans;Afghanistan;flight;country;Kabul"
28799,0.077,0.434,6172,1,"government;Barcelona;Catalonia;movement;year;people;Spain;independence;move;streets"
28800,0.036,0.219,6173,1,"training;United;unit;president;forces;coup;Green;Doumbouya;Berets;American"
28801,0.073,0.466,6174,2,"waiver;Naqvi;university;countries;always;Afghan;fee;also;world;one"
28802,0.005,0.361,6175,1,"Shining;Path;Guzman;Peru;died;life;first;Mao;Lima;1992"
28803,0.069,0.368,6176,0,"Korea;North;parade;leader;Korean;Kim;efforts;would;image;health"
28804,-0.152,0.290,6177,1,"least;Web;Facebook;island;agency;ANSA;ways;vehicles;tornado;thrown"
28806,0.129,0.435,6179,1,"AFP;partners;drugs;crime;NCA;men;arrested;yacht;would;transnational"
28807,0.250,0.500,6180,0,"would;ways;sold;misery;lines;fuelling;drugs;doubt;director;crime"
28808,-0.027,0.175,6181,1,"government;Taliban;France;Drian;talks;relationship;lying;heading;Sunday;Reuters"
28809,-0.013,0.180,6182,3,"waste;turn;several;radioactive;plant;metres;liquid;level;hundred;high"
28810,0.111,0.529,6183,0,"use;cannabis;Greens;would;interior;one;Health;policy;party;legalisation"
28811,-0.145,0.436,6184,1,"Minister;pupils;school;teachers;police;officers;check;Thursday;went;weapons"
28812,0.069,0.345,6185,1,"Hungary;antisemitism;Orbán;Jewish;believe;also;Jews;leadership;pope;Soros"
28813,0.061,0.256,6186,0,"week;wearing;wear;talking;subsequently;statement;required;reported;public;prime"
28814,0.031,0.456,6187,3,"percent;carbon;1.5;study;fossil;production;world;must;target;model"
28815,0.077,0.396,6188,3,"pollution;air;countries;climate;fossil;global;years;world;particulate;life"
28816,0.080,0.498,6189,0,"higher;education;new;minister;would;women;whether;wear;university;universities"
28817,0.048,0.310,6190,0,"children;Sept;Cuba;2021;schools;vaccines;started;since;jabs;first"
28818,0.056,0.410,6191,3,"polar;shows;vortex;see;stratospheric;winter;weather;stratosphere;pressure;QBO"
28819,-0.015,0.258,6192,2,"China;defence;new;Japan;also;Japanese;Vietnamese;United;Vietnam;deal"
28820,0.231,0.366,6193,1,"Massoud;Panjshir;tomb;Taliban;Afghanistan;Ahmad;resistance;Shah;September;2021"
28821,-0.043,0.396,6194,1,"Taliban;Daryabi;would;journalists;Naqdi;one;hit;torture;station;present"
28822,0.325,0.625,6195,2,"whether;three;terms;spoken;sources;show;paid;offer;end;documents"
28824,0.425,0.736,6197,0,"news;top;breaking;latest;updates;world;update;live;worry;platform"
28825,0.023,0.306,6198,1,"al-Arida;Israeli;two;commander;Saturday;Mohammed;Israel;prisoners;northern;earlier"
28826,0.040,0.312,6199,2,"global;world;U.N.;new;future;Guterres;people;also;inequality;financial"
28827,0.169,0.499,6200,0,"across;Bangladesh;United;States;cases;pandemic;deaths;morning;fatalities;caseload"
28828,0.048,0.372,6201,0,"housing;new;years;shortage;live;homes;square;metres;social;say"
28829,-0.020,0.370,6202,3,"mph;kph;rain;Shanghai;storm;reported;island;east;coast;areas"
28830,-0.020,0.275,6203,3,"Witness;Global;highest;people;killed;rights;nature;defense;report;attacks"
28831,0.122,0.449,6204,0,"kratom;Thailand;market;leaves;say;Kratom;could;million;like;help"
28832,0.067,0.444,6205,2,"must;monitoring;says;Iran;world;sites;set;report;powers;nuclear"
28833,0.123,0.438,6206,2,"News;Korea;Korean;nuclear;military;South;North;missiles;weapons;tests"
28834,-0.034,0.201,6207,1,"pilots;waves;transfer;told;take;starting;speaking;several;return;place"
28835,-0.076,0.456,6208,1,"Image;Taliban;military;centre;American;detention;Bagram;one;inside;fighters"
28836,0.030,0.329,6209,2,"nuclear;IAEA;statement;joint;deal;Iran;service;monitoring;meeting;inspectors"
28837,0.030,0.277,6210,0,"city;Putian;coronavirus;reported;cases;announced;Times;Saturday;Global;China"
28838,0.100,0.338,6211,2,"billion;Port;port;trade;regional;opportunities;operated;new;needed;hub"
28839,-0.032,0.481,6212,2,"Canada;school;Indigenous;Providence;CSC;board;people;program;books;Kies"
28840,0.050,0.367,6213,1,"yesterday;say;residents;police;collapsed;Holon;walls;unable;statement;sound"
28841,0.250,0.326,6214,0,"would;week;way;vaccine;two;time;start;sites;scheme;right"
28842,0.250,0.326,6215,0,"would;week;way;vaccine;two;time;start;sites;scheme;right"
28843,0.124,0.329,6216,1,"Jewish;Hungary;survey;anti-Semitic;pope;anti-Semitism;Orban;Jews;must;called"
28844,0.041,0.343,6217,2,"local;Taliban;businesses;government;economy;Afghanistan;country;could;Ahmady;run"
28845,0.084,0.399,6218,0,"'re;Google;workers;temporary;pay;laws;staff;reported;pay-parity;full-time"
28847,0.077,0.397,6220,2,"would;nuclear;IAEA;Iran;talks;new;Grossi;agreement;meeting;also"
28848,0.094,0.388,6221,0,"North;Korea;leader;efforts;Kim;would;parade;health;pounds;concerns"
28849,0.086,0.592,6222,3,"Spain;blaze;see;hot;Sunday;around;year;wildfire;waves;told"
28850,0.034,0.286,6223,1,"military;IDF;Israel;week;rocket;Sunday;Israeli;Strip;southern;response"
28851,0.114,0.403,6224,0,"month;average;New;million;property;value;price;first;buyers;Zealand"
28852,-0.108,0.320,6225,1,"three;mudslides;houses;homes;district;areas;affected;Pakistan;Nawaz;women"
28854,0.027,0.334,6227,1,"man;station;police;suspect;gas;shot;measures;crime;Idar-Oberstein;Fuhrmann"
28855,0.094,0.386,6228,1,"refugees;Afghan;Taliban;Canada;country;girls;women;education;students;Afghans"
28856,0.049,0.353,6229,2,"China;military;Japan;Taiwan;Chinese;international;defence;Kishi;Beijing;South"
28857,0.136,0.338,6230,0,"travel;U.S.;allow;travelers;international;business;Zients;restrictions;industry;Airlines"
28858,-0.028,0.406,6231,1,"Madrid;march;Ayuso;hate;people;homophobia;homophobic;party;demonstration;spokesperson"
28859,-0.117,0.533,6232,1,"Congress;Surjewala;Randeep;votes;trying;tell;suffering;stomach;state;seeks"
28860,-0.031,0.374,6233,3,"Australian;extinct;animals;Australia;numbers;koalas;South;Koala;near;debate"
28861,0.055,0.330,6234,1,"election;Russia;widespread;vote;three-day;terminal;sweeping;supports;station;spokesman"
28862,0.118,0.439,6235,3,"whales;killer;resident;three;pregnancies;orcas;weeks;carried;birth;calves"
28863,0.002,0.313,6236,1,"Perm;people;Russia;killing;shooting;opened;fire;attack;State;one"
28864,0.048,0.441,6237,3,"Monday;lava;eruption;volcano;island;Palma;active;100;tourists;emergency"
28865,0.061,0.335,6238,1,"vehicle;police;Police;point;charging;found;car;trying;border;back"
28866,0.122,0.402,6239,0,"children;trial;Pfizer;vaccine;year;cases;age;COVID-19;years;olds"
28867,0.174,0.475,6240,0,"sex;workers;work;Maggie;Keller;union;working;worker;staff;pay"
28868,0.200,0.450,6241,0,"understand;effort;COVID-19;Bats;years;viruses;virus;tested;swabbed;similar"
28869,0.500,0.694,6242,2,"sure;supports;review;make;loading;information;happen;cookies;browser;blocking"
28870,0.078,0.489,6243,1,"people;wounded;two;Jalalabad;Afghanistan;targeted;series;official;explosions;channel"
28871,0.027,0.334,6244,1,"man;station;police;suspect;gas;shot;measures;crime;Idar-Oberstein;Fuhrmann"
28872,0.076,0.481,6245,3,"core;supernova;star;white;dwarf;stars;remnant;1181;known;astronomers"
28873,0.095,0.255,6246,2,"election;elections;territory;sovereign;recognize;Ukrainian;State;September;Russia;Reuters"
28874,0.079,0.458,6247,1,"Church;Pope;abuse;time;victims;reported;children;Francis;video;says"
28875,0.112,0.345,6248,1,"violence;domestic;Iraq;political;women;law;parliament;female;years;quota"
28876,0.077,0.405,6249,2,"Russia;votes;elections;vote;results;online;Russian;political;voting;opposition"
28877,-0.200,0.000,6250,1,"target;sending;people;nine;never;money;killed;group;civilians;carrying"
28878,0.051,0.307,6251,1,"Russia;Ukraine;Ukrainian;Sea;Polityuk;Pavel;troops;near;NATO;military"
28879,0.008,0.390,6252,0,"workers;made;certificate;Reuters;Pass;Oct.;Italy;Green;widely;visitors"
28880,0.012,0.419,6253,2,"countries;United;Guterres;world;two;War;global;climate;Biden;relationship"
28881,0.146,0.402,6254,0,"one;signatures;cannabis;Italy;500,000;week;law;decriminalize;campaigners;Italian"
28882,0.065,0.431,6255,3,"billion;climate;world;meeting;countries;Johnson;100;representative;would;news"
28883,0.117,0.297,6256,3,"took;according;Palma;Canary;surrounding;recorded;place;park;one;national"
28884,0.167,0.461,6257,0,"treatment;cancer;tumours;research;patients;could;resistance;trial;results;ovarian"
28885,0.061,0.385,6258,3,"bandages;food;durian;bandage;antimicrobial;waste;cases;husks;fruit;durians"
28886,0.050,0.467,6259,3,"koalas;could;extinct;animals;koala;Australia;AKF;years;three;numbers"
28887,0.028,0.440,6260,1,"Tigray;aid;people;Ethiopia;government;U.N.;starvation;humanitarian;food;since"
28890,0.136,0.415,6263,2,"Evergrande;money;company;year;property;owes;home;employees;buyers;back"
28891,0.050,0.347,6264,2,"system;imperial;metric;measurements;Brexit;uses;reverting;reported;part;news"
28892,0.028,0.542,6265,3,"Europe;cold;eastern;across;region;days;normal;temperatures;low;Turkey"
28893,0.000,0.063,6266,0,"unrivalled;track;page;newsletter;network;myFT;local;journalists;insights;future"
28894,0.054,0.413,6267,1,"women;Taliban;Afghanistan;judges;Nabila;n't;Ruiz;Kabul;judge;two"
28895,0.056,0.430,6268,0,"election;Canadians;Canada;seats;party;ridings;votes;riding;results;Quebec"
28896,0.130,0.397,6269,1,"members;City;Mexico;rode;robotics;made;Afghan;team;women;group"
28897,0.066,0.472,6270,1,"plates;Serbia;cars;Kosovo;entering;Pristina;AFP;would;roads;Serbian"
28898,0.003,0.469,6271,0,"staff;situation;sisters;separate;sent;presented;precaution;parts;official;live"
28899,0.008,0.422,6272,2,"Evergrande;China;could;also;property;money;may;economy;companies;business"
28900,0.032,0.310,6273,2,"European;France;technology;Australia;bloc;trust;also;Britain;would;Germany"
28901,0.076,0.456,6274,2,"United;climate;developing;brought;projects;world;new;coal;States;year"
28902,0.118,0.326,6275,1,"women;without;weeks.Women;way;vote;violation;undergo;unconstitutional;unanimous;top"
28903,0.041,0.263,6276,1,"Russian;Russia;Litvinenko;ECHR;poisoning;agency;agents;agent;London;2006"
28904,0.083,0.433,6277,2,"terrorism;support;something;seen;providing;many;long;jihadist;firm;elsewhere"
28905,0.078,0.418,6278,2,"Trudeau;seats;one;election;another;party;minority;Canadians;Quebec;seat"
28906,0.065,0.284,6279,1,"President;senior;former;Afghan;Ahmad;Massoud;Taliban;son;soil;leader"
28907,0.105,0.448,6280,3,"fires;Amazon;species;impact;habitat;forest;areas;says;loss;fire"
28908,-0.087,0.356,6281,2,"Iraq;Lobby;Hobby;agreed;tablet;return;U.S.;collecting;Immigration;Enforcement"
28909,0.046,0.498,6282,2,"official;voting;high;United;votes;vote;turnout;elections;analysis;results"
28910,0.086,0.400,6283,2,"U.S.;North;Korea;two;parties;Koreas;Peninsula;Moon;U.N.;Korean"
28911,0.098,0.327,6284,2,"Polish;Poland;Turów;power;government;Czech;would;two;though;statement"
28912,-0.037,0.424,6285,1,"police;protesters;Melbourne;protests;riot;protest;one;city;CFMEU;told"
28913,0.201,0.589,6286,2,"Axios;power;pledge;China;new;market;free;commitment;coal-fired;coal"
28914,0.071,0.309,6287,2,"access;Philippines;balance;Locsin;Australia;web;view;technology;subscribed;submarines"
28915,-0.006,0.567,6288,0,"beliefs;become;bar;staff;says;closing;would;way;vaccinated;threats"
28916,0.409,0.489,6289,0,"need;world;want;together;send;safe;notably;news;message;leaders"
28917,0.000,0.000,6290,2,"website;visit;version;submit;submission;see;reading;question;page;need"
28918,0.074,0.386,6291,1,"Salvador;Twitter;justices;constitutional;president;bitcoin;Bukele;profile;dictator;changed"
28919,0.005,0.397,6292,2,"two;world;year;Guterres;ministers;different;United;U.N.;vaccines;York"
28920,0.070,0.428,6293,0,"Canadians;election;Trudeau;https;href=;pointless;nothing;money;src=hash;ref_src=twsrc"
28921,0.140,0.408,6294,0,"billionaires;report;world;tax;wealth;pandemic;growing;like;trillion;new"
28922,0.124,0.425,6295,1,"Rwanda;Rusesabagina;opposition;group;Tutsis;arrested;News;Ndegeya/Xinhua;Images;Cyril"
28923,0.121,0.343,6296,1,"Vijayawada;Gujarat;two;seized;people;containers;biggest;arrested;India;official"
28924,0.040,0.295,6297,0,"Johnson;could;Boris;Christmas;plan;lockdown;problems;shelves;rule;months"
28925,-0.066,0.226,6298,1,"Russian;Russia;British;Tuesday;Sergeev;suspects;officer;Police;murder;fell"
28926,0.047,0.239,6299,2,"nuclear;existing;units;task;Russian;sites;saying;report;replace;quoted"
28927,0.129,0.355,6300,2,"decision;deal;U.S.;Breton;say;Washington;European;visit;technology;something"
28928,0.142,0.305,6301,2,"nearly;heroin;Afghanistan;Taliban;Gujarat;DRI;years;western;power;port"
28929,-0.015,0.407,6302,0,"students;Turkey;last;housing;costs;Atik;student;rental;rent;month"
28930,0.068,0.381,6303,2,"president;Bukele;week;bitcoin;Salvador;profile;government;dictator;required;comment"
28931,0.045,0.277,6304,2,"private;mogul;met;media;dinner;York;Scott;Rupert;Prime;New"
28932,0.000,0.067,6305,2,"stayed;representative;position;overthrew;last;government;deferred;decision;credentials;controlled"
28933,0.500,0.694,6306,2,"sure;supports;review;make;loading;information;happen;cookies;browser;blocking"
28934,0.048,0.453,6307,1,"Church;Francis;Catholic;homosexual;people;work;pope;Pope;person;deserve"
28935,0.045,0.227,6308,2,"contract;French;Australia;Australian;submarine;Naval;Group;Canberra;told;programme"
28936,0.118,0.280,6309,2,"climate;coal;finance;overseas;China;power;plants;Chinese;gigawatts;details"
28937,0.039,0.383,6310,3,"million;Takata;inflators;vehicles;Honda;worldwide;risk;new;safety;investigation"
28938,-0.048,0.413,6311,1,"Haiti;deported;United;States;plane;country;migrants;U.S.;flights;Tuesday"
28939,0.123,0.457,6312,0,"unvaccinated;vaccinated;need;indoor;eating;York;New;Bolsonaro;City;Brazil"
28940,0.169,0.428,6313,2,"trade;free;agreement;would;New;deal;Johnson;going;Biden;want"
28941,0.131,0.382,6314,2,"Gujarat;Vijayawada;billion;official;heroin;containers;Taliban;Afghanistan;two;seized"
28942,0.039,0.392,6315,1,"Ethiopia;conflict;Tigray;Amhara;report;region;Marika;Maria;warring;violations"
28943,0.046,0.393,6316,1,"Taliban;country;Afghanistan;militants;group;attacks;one;Afghan;could;affiliate"
28944,0.093,0.450,6317,3,"Australia;reports;quake;Melbourne;state;social;news;media;good;country"
28945,0.136,0.292,6318,1,"Mexico;socially;marriage;state;same-sex;regions;legalize;country;conservative;approved"
28946,-0.005,0.332,6319,3,"whales;slaughter;Shepherd;Sea;dolphin;local;hunt;grindadrap;dolphins;Faroese"
28947,0.084,0.383,6320,0,"health;England;water;decay;tooth;medical;fluoride;fluoridation;chief;among"
28948,0.000,0.000,6321,2,"website;visit;version;submit;submission;see;reading;question;page;need"
28949,0.064,0.385,6322,2,"Iraq;Iraqi;Israel;peace;Israeli;Jewish;wrote;forces;also;region"
28950,0.063,0.377,6323,0,"viruses;bats;receptor;SARS-CoV-2;Laos;says;study;virus;virologist;researchers"
28951,0.109,0.392,6324,1,"marriage;would;couples;party;law;homosexuality;could;same-sex;want;referendum"
28952,-0.088,0.280,6325,2,"Michael;whole;two;turned;relations;poisoned;personal;pawns;negotiations;major"
28953,0.009,0.562,6326,1,"two;women;temporary;evacuees;bases;sources;situation;pregnant;one;housed"
28954,0.098,0.407,6327,0,"people;prevalence;England;per;undiagnosed;living;1,000;number;men;London"
28955,0.167,0.461,6328,2,"stage;receiving;papers;means;made;fully;first;documents;defendant;damages"
28956,0.100,0.372,6329,3,"climate;protest;youth;activist;action;pandemic;people;global;emissions;since"
28957,0.136,0.375,6330,2,"tax;Switzerland;assets;Swiss;financial;Zurich;wealth;entrepreneurs;Germany;German"
28958,0.093,0.369,6331,1,"abuse;Pope;allegations;report;Woelki;Francis;sexual;accused;Hesse;Catholic"
28959,0.044,0.429,6332,0,"law;people;protect;right;metres;clinics;schools;protest;hospitals;demonstrations"
28960,0.023,0.323,6333,2,"Minister;n't;French;phone;Friday;website;told;report;ministers;media"
28961,0.108,0.481,6334,0,"Brazilian;tested;positive;coronavirus;Minister;General;Bolsonaro;people;also;Eduardo"
28962,0.226,0.521,6335,0,"would;Japan;Lithuania;Taiwan;vaccines;read;mission;government;donate;China"
28963,0.065,0.368,6336,0,"Brexit;happening;Britain;shortages;many;fuel;reported;September;2021;transport"
28964,0.244,0.456,6337,0,"Jack;data;Darcy;job;Australia;Wesley;work;vaccine;time;really"
28965,0.072,0.425,6338,0,"without;staff;Romania;n't;vaccine;vaccinated;intensive;care;beds;Pascu"
28966,0.013,0.326,6339,2,"French;ministers;Pegasus;Mediapart;spyware;comment;NSO;phones;phone;government"
28967,0.094,0.375,6340,2,"Canada;Arctic;submarines;United;allies;military;Canadian;Carter;defence;Britain"
28968,0.242,0.402,6341,3,"Original;Taliban;treasure;items;Afghanistan;treason;reportedly;gold;crown;Bactrian"
28969,-0.088,0.280,6342,2,"Michael;whole;two;turned;relations;poisoned;personal;pawns;negotiations;major"
28970,0.057,0.424,6343,2,"pay;Uber;scheme;would;back;pension;deal;drivers;rights;operators"
28971,0.038,0.232,6344,2,"members;European;statement;democratic;activities;Commission;years;values;unacceptable;trying"
28972,0.096,0.349,6345,1,"local;Russia;days;Putin;made;Russian;spokeswoman;two;show;Ussuriisk"
28973,0.007,0.293,6346,2,"Chiang;Kai-shek;victims;statue;Tsai;past;former;year;statues;removal"
28974,0.048,0.328,6347,2,"Israel;General;state;West;Bank;Abbas;Palestinians;Palestinian;would;peace"
28975,0.010,0.444,6348,2,"Michael;Trudeau;China;p.m;government;arrested;Vancouver;U.S.;Spavor;Meng"
28976,0.125,0.491,6349,0,"brain;COVID-19;people;changes;aging;regions;adults;older;disease;age"
28977,-0.036,0.335,6350,2,"fraud;wire;conspiracy;commit;bank;Michael;Huawei;Canada;prosecution;charges"
28978,-0.003,0.230,6351,0,"Malana;shots;village;vaccine;team;Gupta;state;one;health;adults"
28979,0.073,0.445,6352,0,"would;Ardern;per;cent;Auckland;vaccinated;vaccination;get;level;could"
28980,0.047,0.394,6353,3,"cancelled;volcano;Palma;eruption;cloud;Friday;thousands;airline;ash;Tacande"
28981,-0.005,0.332,6354,3,"whales;slaughter;Shepherd;Sea;dolphin;local;hunt;grindadrap;dolphins;Faroese"
28982,0.124,0.488,6355,3,"coins;Roman;found;Vidal;Molina;one;century;Valentinian;team;likely"
28983,0.017,0.433,6356,1,"Ethiopia;Tigray;aid;people;hunger;region;death;starved;month;group"
28984,0.085,0.369,6357,0,"Australia;restrictions;cases;Norway;new;social;days;daily;Solberg;NSW"
28985,0.066,0.399,6358,3,"Palma;island;eruption;large;volcano;flights;ash;damage;week;volcanic"
28986,0.010,0.444,6359,2,"Michael;Trudeau;China;p.m;government;arrested;Vancouver;U.S.;Spavor;Meng"
28987,0.080,0.359,6360,3,"Islands;Faroe;trade;million;deal;cetaceans;government;whales;islands;dolphins"
28988,0.106,0.431,6361,2,"property;Evergrande;Group;debt;China;residential;financing;billion;Properties;Guangzhou"
28989,0.200,0.471,6362,2,"time;win;solutions;ripe;plenty;line;legislative;industry;important;green"
28990,0.020,0.425,6363,2,"Cree;women;Women;sterilization;want;Masty;Bearskin;research;Quebec;also"
28991,-0.004,0.432,6364,2,"power;Afghanistan;according;Taliban;supply;DABS;reported;paper;Journal;told"
28992,0.135,0.453,6365,0,"New;Zealand;government;outbreak;Ardern;long;elimination;people;lockdown;rid"
28993,0.054,0.376,6366,2,"king;Evans;companies;Alcogal;Jordan;BVI;offshore;King;million;Abdullah"
28994,0.014,0.381,6367,1,"Jiang;people;Xinjiang;police;China;time;detention;would;Bekali;Chinese"
28995,0.084,0.366,6368,2,"company;report;accounts;property;Czech;Minister;investigation;British;Babis;million"
28996,0.054,0.347,6369,2,"tax;million;London;Panama;Papers;former;Prime;Mossack;Minister;Fonseca"
28997,0.091,0.320,6370,2,"offshore;Papers;companies;corruption;millions;million;documents;leaders;investigation;ICIJ"
28998,0.042,0.269,6371,2,"tax;company;Son;documents;fees;Japan;Islands;Hirata;leaked;former"
28999,0.041,0.356,6372,2,"Facebook;European;whistleblower;companies;Schaldemose;Haugen;tech;spokesperson;revelations;regulate"
29000,0.011,0.344,6373,0,"food;Johnson;British;pigs;industry;could;butchers;Prime;Minister;shortages"
29001,0.222,0.396,6374,0,"Bolsonaro;CNN;signs;prices;people;impeachment;food;economic;demonstrators;cities"
29002,0.027,0.267,6375,2,"oil;Russian;Putin;circle;Krivonogikh;secret;export;worth;net;inner"
29003,0.142,0.480,6376,0,"brain;depression;Sarah;stimulation;activity;would;psychiatry;people;first;University"
29004,0.010,0.464,6377,2,"million;information;cost;company;billion;1.5;users;sale;right;accounts"
29005,-0.072,0.294,6378,2,"wealth;told;see;reporters;n't;inner;information;hidden;clear;circle"
29006,0.029,0.425,6379,3,"power;nuclear;U.K.;government;plan;sources;something;supply;projects;next"
29007,0.047,0.344,6380,2,"Temerko;Johnson;Boris;since;Russian;donations;links;cash;Tory;money"
29008,0.061,0.439,6381,1,"Zurich;climate;one;activists;AFP;street;shopping;main;citizens;way"
29009,0.013,0.383,6382,1,"police;Duterte;would;ICC;suspects;killed;thousands;state;say;investigation"
29010,-0.032,0.371,6383,3,"forest;logging;zebrawood;Ebo;Cameroon;species;around;Nana;African;trees"
29011,0.050,0.278,6384,1,"crimes;Libya;state;backed;war;sides;mission;migrants;humanity;foreign"
29012,0.550,0.950,6385,0,"theory;leak;lab;controversial;centre;Wuhan;Virology;Photo;Institute;AFP"
29013,0.074,0.413,6386,0,"top;time;returning;represented;qualify;players;particular;number;mass;island"
29014,0.068,0.307,6387,2,"Czech;United;told;wrongdoing;consortium;leak;companies;Babis;Ambani;Abdullah"
29015,0.101,0.326,6388,2,"power;superpower;China;northeast;two;trade;soon;problem;officials;newsletters"
